user_id,month,year,units_consumed_kwh,peak_usage_kwh,off_peak_usage_kwh,avg_temperature,season,holiday_month,vacation_days
10001,Apr,2023,875.45,432.02,443.43,29.3,Summer,0,0
10001,May,2023,998.82,534.89,463.93,32.7,Summer,1,0
10001,Jun,2023,615.49,294.58,320.91,32.0,Monsoon,1,0
10001,Jul,2023,618.52,357.08,261.44,31.2,Monsoon,0,0
10001,Aug,2023,620.34,261.86,358.48,30.7,Monsoon,0,0
10001,Sep,2023,631.88,275.26,356.62,28.1,Monsoon,0,0
10001,Oct,2023,587.5,249.98,337.52,24.1,Winter,1,0
10001,Nov,2023,565.56,284.6,280.96,20.7,Winter,0,0
10001,Dec,2023,923.38,446.2,477.18,15.0,Winter,1,0
10001,Jan,2024,876.78,413.89,462.89,16.3,Winter,0,0
10001,Feb,2024,842.46,483.94,358.52,16.8,Winter,0,0
10001,Mar,2024,881.49,380.74,500.75,23.7,Summer,0,0
10001,Apr,2024,978.52,505.85,472.67,31.9,Summer,0,0
10001,May,2024,515.11,253.39,261.72,34.3,Summer,1,16
10001,Jun,2024,403.06,210.4,192.66,31.6,Monsoon,1,10
10001,Jul,2024,512.58,284.91,227.67,28.9,Monsoon,0,6
10001,Aug,2024,633.67,309.49,324.18,27.6,Monsoon,0,0
10001,Sep,2024,617.42,328.02,289.4,28.1,Monsoon,0,0
10001,Oct,2024,544.29,235.31,308.98,25.4,Winter,1,0
10001,Nov,2024,552.19,258.04,294.15,19.8,Winter,0,0
10001,Dec,2024,838.93,470.91,368.02,16.8,Winter,1,0
10001,Jan,2025,922.49,403.69,518.8,14.8,Winter,0,0
10001,Feb,2025,537.76,252.08,285.68,18.4,Winter,0,0
10001,Mar,2025,851.93,394.53,457.4,26.2,Summer,0,0
10001,Apr,2025,862.96,371.4,491.56,30.0,Summer,0,0
10001,May,2025,691.16,306.66,384.5,32.7,Summer,1,9
10001,Jun,2025,627.08,327.02,300.06,31.9,Monsoon,1,0
10001,Jul,2025,589.34,270.35,318.99,29.5,Monsoon,0,3
10001,Aug,2025,633.19,347.31,285.88,30.7,Monsoon,0,0
10001,Sep,2025,621.58,340.46,281.12,28.5,Monsoon,0,0
10002,Nov,2023,152.84,83.99,68.85,23.6,Winter,0,0
10002,Dec,2023,135.69,68.23,67.46,15.9,Winter,1,0
10002,Jan,2024,153.63,87.25,66.38,16.7,Winter,0,0
10002,Feb,2024,148.08,85.46,62.62,18.5,Winter,0,0
10002,Mar,2024,262.63,148.01,114.62,23.4,Summer,0,0
10002,Apr,2024,293.44,156.13,137.31,31.4,Summer,0,0
10002,May,2024,141.75,78.83,62.92,34.2,Summer,1,17
10002,Jun,2024,138.62,64.52,74.1,33.3,Monsoon,1,12
10002,Jul,2024,157.3,71.71,85.59,28.8,Monsoon,0,0
10002,Aug,2024,198.12,94.83,103.29,27.5,Monsoon,0,0
10002,Sep,2024,200.69,100.63,100.06,29.3,Monsoon,0,0
10002,Oct,2024,150.54,84.71,65.83,23.0,Winter,1,0
10002,Nov,2024,147.81,73.73,74.08,22.8,Winter,0,0
10002,Dec,2024,126.88,66.39,60.49,17.9,Winter,1,0
10002,Jan,2025,150.84,87.01,63.83,15.8,Winter,0,0
10002,Feb,2025,132.61,59.29,73.32,18.7,Winter,0,0
10002,Mar,2025,236.14,101.84,134.3,27.1,Summer,0,3
